model,track,split,metric,value
Melody-G1,GSM5652264_Thyroid-Epithelial-Z0000042S,TEST,AUC,0.899746781
Melody-G1,GSM5652267_Fallopian-Epithelial-Z000000Q7,SAMPLE_VALID,AUC,0.916184535
Melody-G1,GSM5652267_Fallopian-Epithelial-Z000000Q7,SAMPLE_TEST,AUC,0.91441579
Melody-G1,GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,AUC,0.901520208
Melody-G1,GSM5652267_Fallopian-Epithelial-Z000000Q7,TEST,AUC,0.900260963
Melody-G1,GSM5652270_Ovary-Epithelial-Z000000QT,SAMPLE_VALID,AUC,0.901579719
Melody-G1,GSM5652270_Ovary-Epithelial-Z000000QT,SAMPLE_TEST,AUC,0.89908087
Melody-G1,GSM5652270_Ovary-Epithelial-Z000000QT,VALID,AUC,0.877277532
Melody-G1,GSM5652270_Ovary-Epithelial-Z000000QT,TEST,AUC,0.873781619
Melody-G1,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,SAMPLE_VALID,AUC,0.865405686
Melody-G1,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,SAMPLE_TEST,AUC,0.876345568
Melody-G1,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,AUC,0.877827369
Melody-G1,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,TEST,AUC,0.873939503
Melody-G1,GSM5652277_Blood-T-CD3-Z000000TV,SAMPLE_VALID,AUC,0.891930072
Melody-G1,GSM5652277_Blood-T-CD3-Z000000TV,SAMPLE_TEST,AUC,0.898076813
Melody-G1,GSM5652277_Blood-T-CD3-Z000000TV,VALID,AUC,0.906683579
Melody-G1,GSM5652277_Blood-T-CD3-Z000000TV,TEST,AUC,0.905623962
Melody-G1,GSM5652299_Blood-NK-Z000000TM,SAMPLE_VALID,AUC,0.894039981
Melody-G1,GSM5652299_Blood-NK-Z000000TM,SAMPLE_TEST,AUC,0.911982323
Melody-G1,GSM5652299_Blood-NK-Z000000TM,VALID,AUC,0.90746904
Melody-G1,GSM5652299_Blood-NK-Z000000TM,TEST,AUC,0.907533145
Melody-G1,GSM5652317_Blood-B-Z000000UB,SAMPLE_VALID,AUC,0.892983984
Melody-G1,GSM5652317_Blood-B-Z000000UB,SAMPLE_TEST,AUC,0.906194621
Melody-G1,GSM5652317_Blood-B-Z000000UB,VALID,AUC,0.901694088
Melody-G1,GSM5652317_Blood-B-Z000000UB,TEST,AUC,0.90105215
Melody-G1,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_VALID,AUC,0.900464962
Melody-G1,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_TEST,AUC,0.908065678
Melody-G1,GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,AUC,0.898919957
Melody-G1,GSM5652321_Epidermal-Keratinocytes-Z00000424,TEST,AUC,0.899668095
Melody-G1,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,SAMPLE_VALID,AUC,0.900381888
Melody-G1,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,SAMPLE_TEST,AUC,0.904633954
Melody-G1,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,AUC,0.894618449
Melody-G1,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,TEST,AUC,0.895172409
Melody-G1,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_VALID,AUC,0.915845763
