gene,score
PDK4,-1.0
CD44,1.0
RGS4,-0.6636131284769173
TMSB10,0.7050439846381347
ANXA2,0.680153660039633
CRYBA2,-0.5248812455978176
INS,-0.5127574532048945
CALU,0.6371082424788812
DNAJB9,-0.4567960778302125
HERPUD1,-0.4532976081916091
TIMP1,0.507459282278632
LOXL4,0.4896876648835997
HSPA1A,0.4891432482023237
ABCC8,-0.3662347079728713
CTSB,0.4444048122472693
PAPPA2,-0.3440138999829475
TXNIP,-0.3398679069701521
PDIA4,0.4300383940132788
ARG2,-0.3307117510682777
IER3,0.4145873627012633
S100A10,0.4020709118154125
PCP4,-0.3036167994725674
LPXN,0.3817906205286806
RASD1,-0.2949137130627211
SCD,-0.2890171876778882
NFKBIA,0.3675087220433076
CD24,0.3672549346737312
PCSK1,0.360994199872753
HADH,-0.2781328709972932
HSPA5,-0.27404325439761
REG1A,0.3426733752034812
GAD2,-0.2688224405935254
LDHB,-0.2655924300651329
S100A11,0.3359969994245548
HIF1A,0.335902784427857
MBOAT4,-0.2614338194740429
PEG10,-0.2571822325445737
ZFP36,0.321388428118102
ZNF165,0.3167129233679984
SPINK1,0.3081455180148645
KLHL41,-0.2353465738914981
SERPINA1,0.29483747865917
MUC13,-0.2172224519245703
CTRB2,0.2661784401364238
GRAMD4,0.2532430404818293
ID1,-0.196359689087352
SOD2,0.249849019371036
S100A6,0.2470587270457097
CORO1C,0.2462523105501093
IAPP,-0.1921797807405424
PTP4A3,-0.1887397457012675
DDIT3,-0.181619762664472
HSP90B1,-0.1762228396844325
HEPACAM2,-0.1748417070485056
ODC1,-0.171816172875557
CCDC102B,-0.1674879856130262
HSPB1,0.2117802295523283
AGT,-0.1660895821075739
MT2A,0.2072402301481321
CADM1,-0.1580835945208902
CITED2,0.1967625187879473
HK1,0.193409103655774
RGS2,-0.1485345934547315
TPPP3,-0.1468446433553902
ENTPD3,-0.1456583225470364
HYOU1,0.184858579440748
CPA1,0.1838810703361434
CD36,-0.1416819062056817
HSPH1,-0.1394249704656225
CTSL,0.1766952948300189
CPA2,0.1766819496064305
TPM1,0.1704079836434348
MKNK2,0.1697573754830519
SCD5,-0.1332016408570317
HMGA1,-0.1322647185623182
MSN,0.1669525973166815
BACH2,-0.130931103188689
EDN3,-0.1284668275290002
CPB1,0.1630419905892446
ARRDC3,-0.1278993944566353
NAMPT,0.1556045948868837
SPP1,0.1518756885096806
ZNF331,-0.1165029472796472
MEST,-0.115368170620242
RAI14,0.1464318638839616
F3,-0.1142304409108697
SST,0.145004153094779
ELMO1,-0.112641789382837
DNAJB1,0.1417677653078304
IGFBP7,-0.1094884686732874
TPM4,0.1393643704015062
PLCE1,-0.1076071072284438
SLC7A11,-0.1075530574611753
NMB,0.1348268803559449
TM4SF1,0.1342248624963701
CELA3A,0.1307889807273483
NPTX2,-0.1016115204323647
SORL1,-0.1001782172424525
CLDN4,-0.0996540955728015
TMEM37,-0.0991522560093158
LAMC2,0.125694641270654
TGM2,0.1230955164199178
CEMIP,-0.096324755173535
DDIT4,-0.0954275648269884
WIPI1,0.1198298147661687
CSF1,-0.0933900496665115
SLC25A34,-0.0920264563588242
SLC12A2,-0.09115387476383
SERPING1,-0.0908567800154159
TRAF1,-0.090721834569264
NFKBIZ,0.1153196995372097
LITAF,0.1118093354523635
GADD45B,0.1113773836464905
SPINT1,0.110725748930223
IGFBP3,-0.0864530662565074
NNMT,0.1070920841056023
CTRC,0.1059604775910903
PTGR1,-0.081976331619998
