,Pancreas-Delta,Blood-Granulocytes,Blood-Monocytes,Aorta-Endothel,Cortex-Neuron
all,0.742940596426223,0.635684189406099,0.60063492063492,0.677347197871954,0.659638387868077
sample 1,0.697147851550827,0.525180577849117,0.589444444444444,0.704491868689922,0.665754866543649
sample 10%,0.680982190880296,0.556764981273408,0.598571428571428,0.735243737782883,0.635681705954206
