,Pancreas-Delta,Blood-Granulocytes,Blood-Monocytes,Aorta-Endothel,Cortex-Neuron
Melody-G1,0.742940596,0.635684189,0.600634921,0.677347198,0.659638388
Melody-G2,0.789936055,0.677551498,0.663888889,0.7669629,0.586662162
MT-mean,0.66201518,0.629781969,0.560753968,0.674666989,0.639323492
