config,track,split,metric,value
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,VALID,Accuracy,0.9178145090652821
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,VALID,MAE,0.1214612579584693
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,VALID,Pearson,0.8248429163514834
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,VALID,Spearman,0.6140713799665468
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,VALID,AUC,0.9192973850510514
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,VALID,Accuracy,0.9383149911110483
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,VALID,MAE,0.1042038470824044
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,Pearson,0.7885444929185891
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,Spearman,0.6476140440248651
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,AUC,0.9067072609121699
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,Accuracy,0.9010427980140429
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,MAE,0.1275555585219977
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,VALID,Pearson,0.7880513368548193
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,VALID,Spearman,0.5880459790918292
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,VALID,AUC,0.9109562704981498
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,VALID,Accuracy,0.9123155357997189
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,VALID,MAE,0.1244280677355263
with CpG-count loss,GSM5652243_Pancreas-Acinar-Z000000QX,VALID,Pearson,0.7527678695964207
with CpG-count loss,GSM5652243_Pancreas-Acinar-Z000000QX,VALID,Spearman,0.701061420417177
with CpG-count loss,GSM5652243_Pancreas-Acinar-Z000000QX,VALID,AUC,0.8872366369860566
with CpG-count loss,GSM5652243_Pancreas-Acinar-Z000000QX,VALID,Accuracy,0.8341722335108526
with CpG-count loss,GSM5652243_Pancreas-Acinar-Z000000QX,VALID,MAE,0.1575686886307433
with CpG-count loss,GSM5652247_Pancreas-Delta-Z00000451,VALID,Pearson,0.7812833861497884
with CpG-count loss,GSM5652247_Pancreas-Delta-Z00000451,VALID,Spearman,0.6208056568187569
with CpG-count loss,GSM5652247_Pancreas-Delta-Z00000451,VALID,AUC,0.9081658126230382
with CpG-count loss,GSM5652247_Pancreas-Delta-Z00000451,VALID,Accuracy,0.9051371442383405
with CpG-count loss,GSM5652247_Pancreas-Delta-Z00000451,VALID,MAE,0.1327754585681263
with CpG-count loss,GSM5652250_Pancreas-Beta-Z00000452,VALID,Pearson,0.780401003986642
with CpG-count loss,GSM5652250_Pancreas-Beta-Z00000452,VALID,Spearman,0.6043894337840338
with CpG-count loss,GSM5652250_Pancreas-Beta-Z00000452,VALID,AUC,0.9066915357383781
with CpG-count loss,GSM5652250_Pancreas-Beta-Z00000452,VALID,Accuracy,0.9102946277426796
with CpG-count loss,GSM5652250_Pancreas-Beta-Z00000452,VALID,MAE,0.1297592802100581
with CpG-count loss,GSM5652253_Pancreas-Alpha-Z00000453,VALID,Pearson,0.7818577101006937
with CpG-count loss,GSM5652253_Pancreas-Alpha-Z00000453,VALID,Spearman,0.6245546554807128
with CpG-count loss,GSM5652253_Pancreas-Alpha-Z00000453,VALID,AUC,0.9058011077206225
with CpG-count loss,GSM5652253_Pancreas-Alpha-Z00000453,VALID,Accuracy,0.9048639390830784
with CpG-count loss,GSM5652253_Pancreas-Alpha-Z00000453,VALID,MAE,0.1285416317758952
with CpG-count loss,GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,Pearson,0.7916096014521794
with CpG-count loss,GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,Spearman,0.5894848174651605
with CpG-count loss,GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,AUC,0.9111184488509451
with CpG-count loss,GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,Accuracy,0.9141563431835386
with CpG-count loss,GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,MAE,0.1255787584131031
with CpG-count loss,GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,Pearson,0.7881771960540899
with CpG-count loss,GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,Spearman,0.6184176482775331
with CpG-count loss,GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,AUC,0.9141224801628035
with CpG-count loss,GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,Accuracy,0.8961343755526893
with CpG-count loss,GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,MAE,0.135140756464084
with CpG-count loss,GSM5652270_Ovary-Epithelial-Z000000QT,VALID,Pearson,0.732255726613794
with CpG-count loss,GSM5652270_Ovary-Epithelial-Z000000QT,VALID,Spearman,0.5970209538305538
with CpG-count loss,GSM5652270_Ovary-Epithelial-Z000000QT,VALID,AUC,0.884245790858724
with CpG-count loss,GSM5652270_Ovary-Epithelial-Z000000QT,VALID,Accuracy,0.8534570001931908
with CpG-count loss,GSM5652270_Ovary-Epithelial-Z000000QT,VALID,MAE,0.1665429461874382
with CpG-count loss,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,Pearson,0.7853323923817318
with CpG-count loss,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,Spearman,0.731405025938894
with CpG-count loss,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,AUC,0.8813429729355228
with CpG-count loss,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,Accuracy,0.8074581543201439
with CpG-count loss,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,MAE,0.1117419413745711
with CpG-count loss,GSM5652277_Blood-T-CD3-Z000000TV,VALID,Pearson,0.8016524558001981
with CpG-count loss,GSM5652277_Blood-T-CD3-Z000000TV,VALID,Spearman,0.6778833612962157
with CpG-count loss,GSM5652277_Blood-T-CD3-Z000000TV,VALID,AUC,0.9086329194235289
with CpG-count loss,GSM5652277_Blood-T-CD3-Z000000TV,VALID,Accuracy,0.9123965274019394
with CpG-count loss,GSM5652277_Blood-T-CD3-Z000000TV,VALID,MAE,0.1142968721226113
with CpG-count loss,GSM5652299_Blood-NK-Z000000TM,VALID,Pearson,0.8042628831527588
with CpG-count loss,GSM5652299_Blood-NK-Z000000TM,VALID,Spearman,0.5935801315288403
with CpG-count loss,GSM5652299_Blood-NK-Z000000TM,VALID,AUC,0.9106296266780637
with CpG-count loss,GSM5652299_Blood-NK-Z000000TM,VALID,Accuracy,0.931605467037091
with CpG-count loss,GSM5652299_Blood-NK-Z000000TM,VALID,MAE,0.1089815545546876
with CpG-count loss,GSM5652302_Blood-Monocytes-Z000000TP,VALID,Pearson,0.7988298624900323
with CpG-count loss,GSM5652302_Blood-Monocytes-Z000000TP,VALID,Spearman,0.57590427595419
with CpG-count loss,GSM5652302_Blood-Monocytes-Z000000TP,VALID,AUC,0.9146505337896789
with CpG-count loss,GSM5652302_Blood-Monocytes-Z000000TP,VALID,Accuracy,0.9272191907080692
with CpG-count loss,GSM5652302_Blood-Monocytes-Z000000TP,VALID,MAE,0.116451447412454
with CpG-count loss,GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,Pearson,0.8004815118678009
with CpG-count loss,GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,Spearman,0.5988125683482022
with CpG-count loss,GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,AUC,0.9145218412103583
with CpG-count loss,GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,Accuracy,0.9254102972202687
with CpG-count loss,GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,MAE,0.1142407836456962
with CpG-count loss,GSM5652317_Blood-B-Z000000UB,VALID,Pearson,0.7931653404086119
with CpG-count loss,GSM5652317_Blood-B-Z000000UB,VALID,Spearman,0.6457075972696587
with CpG-count loss,GSM5652317_Blood-B-Z000000UB,VALID,AUC,0.9060565835098181
with CpG-count loss,GSM5652317_Blood-B-Z000000UB,VALID,Accuracy,0.9182906651669641
with CpG-count loss,GSM5652317_Blood-B-Z000000UB,VALID,MAE,0.1184461620926573
with CpG-count loss,GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,Pearson,0.7901829487716604
with CpG-count loss,GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,Spearman,0.6848735447257699
with CpG-count loss,GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,AUC,0.9081079307137295
with CpG-count loss,GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,Accuracy,0.8908427718118614
with CpG-count loss,GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,MAE,0.1282088901028093
with CpG-count loss,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,Pearson,0.7813145785810643
with CpG-count loss,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,Spearman,0.6981200019259965
with CpG-count loss,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,AUC,0.9025138796520422
with CpG-count loss,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,Accuracy,0.8595597708660465
with CpG-count loss,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,MAE,0.1440981491240684
with CpG-count loss,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,Pearson,0.7939565718388122
with CpG-count loss,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,Spearman,0.6444813685126604
with CpG-count loss,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,AUC,0.9132147829524419
with CpG-count loss,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,Accuracy,0.8940072461136805
with CpG-count loss,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,MAE,0.1323961990643773
with CpG-count loss,GSM5652338_Prostate-Epithelial-Z000000RV,VALID,Pearson,0.8020831892248176
with CpG-count loss,GSM5652338_Prostate-Epithelial-Z000000RV,VALID,Spearman,0.6746855487191205
with CpG-count loss,GSM5652338_Prostate-Epithelial-Z000000RV,VALID,AUC,0.9153151476028566
with CpG-count loss,GSM5652338_Prostate-Epithelial-Z000000RV,VALID,Accuracy,0.9030737287790579
with CpG-count loss,GSM5652338_Prostate-Epithelial-Z000000RV,VALID,MAE,0.1227030286061444
with CpG-count loss,GSM5652342_Bladder-Epithelial-Z000000QM,VALID,Pearson,0.7787232999295557
with CpG-count loss,GSM5652342_Bladder-Epithelial-Z000000QM,VALID,Spearman,0.6669070414239929
with CpG-count loss,GSM5652342_Bladder-Epithelial-Z000000QM,VALID,AUC,0.9065479968504817
with CpG-count loss,GSM5652342_Bladder-Epithelial-Z000000QM,VALID,Accuracy,0.8762716330265995
with CpG-count loss,GSM5652342_Bladder-Epithelial-Z000000QM,VALID,MAE,0.1412819860487359
with CpG-count loss,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,Pearson,0.7992042203669208
with CpG-count loss,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,Spearman,0.6121102101347818
with CpG-count loss,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,AUC,0.9158729400643341
with CpG-count loss,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,Accuracy,0.9106210450644475
with CpG-count loss,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,MAE,0.1230671708985148
with CpG-count loss,GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,Pearson,0.7829222057927359
with CpG-count loss,GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,Spearman,0.5877981809597801
with CpG-count loss,GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,AUC,0.912126934452235
with CpG-count loss,GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,Accuracy,0.9095277270340897
with CpG-count loss,GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,MAE,0.1286028902819714
with CpG-count loss,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,Pearson,0.8063348834982432
with CpG-count loss,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,Spearman,0.6937974858372882
with CpG-count loss,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,AUC,0.9162848000266425
with CpG-count loss,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,Accuracy,0.8983757146722376
with CpG-count loss,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,MAE,0.1241587006129801
with CpG-count loss,GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,Pearson,0.7877420788787722
with CpG-count loss,GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,Spearman,0.6114401411541099
with CpG-count loss,GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,AUC,0.9131658931108713
with CpG-count loss,GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,Accuracy,0.9000885483625963
with CpG-count loss,GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,MAE,0.1338193461855453
with CpG-count loss,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,Pearson,0.7893207446222336
