,Pancreas-Delta,Blood-Granulocytes,Blood-Monocytes,Aorta-Endothel,Cortex-Neuron
1k+scGPT+FiLM,0.653781,0.569489,0.533938,0.708603,0.640045
1k+scFoundation+FiLM,0.684755,0.554775,0.533897,0.702074,0.625726
1k+CellFM+FiLM,0.551673,0.6302,0.508192,0.703645,0.604772
1k+MT,0.604255833,0.585272873,0.538947974,0.651774379,0.597004479

2k+scGPT+FiLM,0.670546,0.589921,0.575357,0.747254,0.625187
2k+scFoundation+FiLM,0.676485,0.597997,0.547579,0.682929,0.6932
2k+CellFM+FiLM,0.66609,0.624314,0.568294,0.649014,0.602448
2k+MT,0.65695780792446,0.565710272873194,0.563055555555555,0.645970618463212,0.603841255815162
