model,track,split,metric,value
iDNA-ABT,Breast-Luminal-Epithelial,VALID,Spearman,0.3502661999530126
iDNA-ABT,Breast-Luminal-Epithelial,VALID,AUC,0.7548875716867485
iDNA-ABT,Breast-Luminal-Epithelial,TEST,Pearson,0.4889511259658912
iDNA-ABT,Breast-Luminal-Epithelial,TEST,Spearman,0.3498838087781004
iDNA-ABT,Breast-Luminal-Epithelial,TEST,AUC,0.7561415709736609
iDNA-ABT,Colon-Fibroblasts,VALID,Pearson,0.4085442071043187
iDNA-ABT,Colon-Fibroblasts,VALID,Spearman,0.2063414656398585
iDNA-ABT,Colon-Fibroblasts,VALID,AUC,0.6516855082087838
iDNA-ABT,Colon-Fibroblasts,TEST,Pearson,0.4035833853146389
iDNA-ABT,Colon-Fibroblasts,TEST,Spearman,0.2051101008922738
iDNA-ABT,Colon-Fibroblasts,TEST,AUC,0.6503521270850587
iDNA-ABT,Colon-Right-Epithelial,VALID,Pearson,0.4683199997148972
iDNA-ABT,Colon-Right-Epithelial,VALID,Spearman,0.364271587565577
iDNA-ABT,Colon-Right-Epithelial,VALID,AUC,0.7367852461846858
iDNA-ABT,Colon-Right-Epithelial,TEST,Pearson,0.4655715116529919
iDNA-ABT,Colon-Right-Epithelial,TEST,Spearman,0.3663982619415182
iDNA-ABT,Colon-Right-Epithelial,TEST,AUC,0.7387451619461306
iDNA-ABT,Cortex-Neuron,VALID,Pearson,0.5223348692002251
iDNA-ABT,Cortex-Neuron,VALID,Spearman,0.3495797760029153
iDNA-ABT,Cortex-Neuron,VALID,AUC,0.7890077656419817
iDNA-ABT,Cortex-Neuron,TEST,Pearson,0.4767555676953832
iDNA-ABT,Cortex-Neuron,TEST,Spearman,0.3491307688960885
iDNA-ABT,Cortex-Neuron,TEST,AUC,0.7833874045881271
iDNA-ABT,Dermal-Fibroblasts,VALID,Pearson,0.4956836445820679
iDNA-ABT,Dermal-Fibroblasts,VALID,Spearman,0.404786289144678
iDNA-ABT,Dermal-Fibroblasts,VALID,AUC,0.7529339659765126
iDNA-ABT,Dermal-Fibroblasts,TEST,Pearson,0.4897307032898769
iDNA-ABT,Dermal-Fibroblasts,TEST,Spearman,0.3999220066916728
iDNA-ABT,Dermal-Fibroblasts,TEST,AUC,0.7528307320539231
iDNA-ABT,Epidermal-Keratinocytes,VALID,Pearson,0.4206075813211971
iDNA-ABT,Epidermal-Keratinocytes,VALID,Spearman,0.2772443962977324
iDNA-ABT,Epidermal-Keratinocytes,VALID,AUC,0.7009334129518847
iDNA-ABT,Epidermal-Keratinocytes,TEST,Pearson,0.4187774159260524
iDNA-ABT,Epidermal-Keratinocytes,TEST,Spearman,0.2772844296760144
iDNA-ABT,Epidermal-Keratinocytes,TEST,AUC,0.7048746325734554
iDNA-ABT,Fallopian-Epithelial,VALID,Pearson,0.4852331490076804
iDNA-ABT,Fallopian-Epithelial,VALID,Spearman,0.3602825239526593
iDNA-ABT,Fallopian-Epithelial,VALID,AUC,0.7540456748574177
iDNA-ABT,Fallopian-Epithelial,TEST,Pearson,0.4915774010420649
iDNA-ABT,Fallopian-Epithelial,TEST,Spearman,0.3642110185986724
iDNA-ABT,Fallopian-Epithelial,TEST,AUC,0.756808684140648
iDNA-ABT,Gallbladder-Epithelial,VALID,Pearson,0.4886791074784943
iDNA-ABT,Gallbladder-Epithelial,VALID,Spearman,0.3602366425769941
iDNA-ABT,Gallbladder-Epithelial,VALID,AUC,0.7512412669274781
iDNA-ABT,Gallbladder-Epithelial,TEST,Pearson,0.4920575561844533
iDNA-ABT,Gallbladder-Epithelial,TEST,Spearman,0.3644491377346813
iDNA-ABT,Gallbladder-Epithelial,TEST,AUC,0.755698642303296
