,Pancreas-Delta,Blood-Granulocytes,Blood-Monocytes,Aorta-Endothel,Cortex-Neuron
scGPT+FiLM,0.767418,0.74314,0.577444,0.685878,0.551327
scGPT+FiLM+sample_1,0.72456,0.685969,0.619525,0.568315,0.548382
scGPT+FiLM+sample_10%,0.702242,0.753841,0.589929,0.574624,0.597152
scGPT+cell_linear,0.73926,0.686102,0.595215,0.570323,0.565372
scGPT+generate,0.703987,0.718225,0.550345,0.631828,0.641197

scFoundation+FiLM,0.780273,0.849503,0.646295,0.634122,0.475502

CellFM+FiLM,0.750336,0.773624,0.533177,0.616774,0.543333
