alpha_beta,track,MAE
"a=8,b=8",Pancreas-Alpha,0.5411890725481879
"a=8,b=8",Pancreas-Beta,0.4891155267572578
"a=8,b=8",Pancreas-Delta,0.4800009168832782
"a=8,b=8",Pancreas-Duct,0.6765879842210306
"a=8,b=8",Prostate-Epithelial,0.4400075696904561
"a=8,b=8",Skeletal-Muscle,0.403560882255044
"a=8,b=8",Small-int-Epithelial,0.3815297977365819
"a=8,b=8",Thyroid-Epithelial,0.6212691317392743
"a=8,b=32",Adipocytes,0.3591967281827237
"a=8,b=32",Aorta-Endothel,0.2477353405147552
"a=8,b=32",Aorta-Smooth-Muscle,0.1623513087749587
"a=8,b=32",Bladder-Epithelial,0.4500894917532088
"a=8,b=32",Blood-B,0.5906263530186278
"a=8,b=32",Blood-Granulocytes,0.4576259922368923
"a=8,b=32",Blood-Monocytes,0.4122373869151738
"a=8,b=32",Blood-NK,0.4687643003868585
"a=8,b=32",Blood-T-CD3,0.5833060047808529
"a=8,b=32",Bone-Osteoblasts,0.3832241415778796
"a=8,b=32",Bone_marrow-Erythrocyte_progenitors,0.4258754194610649
"a=8,b=32",Breast-Basal-Epithelial,0.4069806299458991
"a=8,b=32",Breast-Luminal-Epithelial,0.3960092628457218
"a=8,b=32",Colon-Fibroblasts,0.2142151309483087
"a=8,b=32",Colon-Right-Epithelial,0.27737033106604
"a=8,b=32",Cortex-Neuron,0.2665311111931459
"a=8,b=32",Dermal-Fibroblasts,0.4165641128910439
"a=8,b=32",Epidermal-Keratinocytes,0.3833231067186908
"a=8,b=32",Fallopian-Epithelial,0.4235156361728907
"a=8,b=32",Gallbladder-Epithelial,0.4682880278034687
"a=8,b=32",Gastric-fundus-Epithelial,0.2991298471211958
"a=8,b=32",Heart-Cardiomyocyte,0.4327762647674828
"a=8,b=32",Heart-Fibroblasts,0.3055511829215674
"a=8,b=32",Kidney-Tubular-Endothel,0.07744053558825137
"a=8,b=32",Liver-Hepatocytes,0.4470517340871025
"a=8,b=32",Lung-Alveolar-Epithelial,0.3385655658400699
"a=8,b=32",Lung-Bronchus-Epithelial,0.3772576714458313
"a=8,b=32",Oligodendrocytes,0.3332061839918065
"a=8,b=32",Ovary-Epithelial,0.3267017259180368
"a=8,b=32",Pancreas-Acinar,0.6739306922369468
"a=8,b=32",Pancreas-Alpha,0.4299767102140816
"a=8,b=32",Pancreas-Beta,0.3696677814539084
"a=8,b=32",Pancreas-Delta,0.340016077272594
"a=8,b=32",Pancreas-Duct,0.6157795712913144
"a=8,b=32",Prostate-Epithelial,0.3390735226395212
"a=8,b=32",Skeletal-Muscle,0.3295317444048887
"a=8,b=32",Small-int-Epithelial,0.2770642048506948
"a=8,b=32",Thyroid-Epithelial,0.451050202907139
"a=32,b=32",Adipocytes,0.431119831133401
"a=32,b=32",Aorta-Endothel,0.3646784308609594
"a=32,b=32",Aorta-Smooth-Muscle,0.2032299720586089
"a=32,b=32",Bladder-Epithelial,0.5324502606669853
"a=32,b=32",Blood-B,0.694827572527699
"a=32,b=32",Blood-Granulocytes,0.5717973610985777
"a=32,b=32",Blood-Monocytes,0.5272384693153498
"a=32,b=32",Blood-NK,0.5988098600195074
"a=32,b=32",Blood-T-CD3,0.6697494376946107
"a=32,b=32",Bone-Osteoblasts,0.5205588227957487
"a=32,b=32",Bone_marrow-Erythrocyte_progenitors,0.4973376434434343
"a=32,b=32",Breast-Basal-Epithelial,0.5455179388355118
"a=32,b=32",Breast-Luminal-Epithelial,0.4857572836718888
"a=32,b=32",Colon-Fibroblasts,0.3054529271686255
"a=32,b=32",Colon-Right-Epithelial,0.4523993183885514
"a=32,b=32",Cortex-Neuron,0.3296128731511924
"a=32,b=32",Dermal-Fibroblasts,0.5063707758379834
"a=32,b=32",Epidermal-Keratinocytes,0.5264917959580379
"a=32,b=32",Fallopian-Epithelial,0.5333085895270109
"a=32,b=32",Gallbladder-Epithelial,0.6180099139936416
"a=32,b=32",Gastric-fundus-Epithelial,0.4576425999619826
"a=32,b=32",Heart-Cardiomyocyte,0.5571066218886583
"a=32,b=32",Heart-Fibroblasts,0.38175708755526
"a=32,b=32",Kidney-Tubular-Endothel,0.05875680014327332
"a=32,b=32",Liver-Hepatocytes,0.6320138576613259
"a=32,b=32",Lung-Alveolar-Epithelial,0.4492641350788599
"a=32,b=32",Lung-Bronchus-Epithelial,0.5139402932767909
"a=32,b=32",Oligodendrocytes,0.4614121448850254
"a=32,b=32",Ovary-Epithelial,0.4183731845904403
"a=32,b=32",Pancreas-Acinar,0.7340144009151378
"a=32,b=32",Pancreas-Alpha,0.57375767613349
"a=32,b=32",Pancreas-Beta,0.531896261884557
"a=32,b=32",Pancreas-Delta,0.5070440774030129
"a=32,b=32",Pancreas-Duct,0.6876401684821061
"a=32,b=32",Prostate-Epithelial,0.4445942222281433
"a=32,b=32",Skeletal-Muscle,0.4105246605096336
"a=32,b=32",Small-int-Epithelial,0.4098313575451432
"a=32,b=32",Thyroid-Epithelial,0.6385454227865646
