model,track,split,metric,value
iDNA-ABT,Breast-Luminal-Epithelial,VALID,Spearman,0.3502661999530126
iDNA-ABT,Breast-Luminal-Epithelial,VALID,AUC,0.7548875716867485
iDNA-ABT,Breast-Luminal-Epithelial,TEST,Spearman,0.3498838087781004
iDNA-ABT,Breast-Luminal-Epithelial,TEST,AUC,0.7561415709736609
iDNA-ABT,Breast-Luminal-Epithelial,cell type specific,Spearman,0.1131147293534499
iDNA-ABT,Breast-Luminal-Epithelial,cell type specific,AUC,0.5851787792930546
iDNA-ABT,Colon-Fibroblasts,VALID,Spearman,0.2063414656398585
iDNA-ABT,Colon-Fibroblasts,VALID,AUC,0.6516855082087838
iDNA-ABT,Colon-Fibroblasts,TEST,Spearman,0.2051101008922738
iDNA-ABT,Colon-Fibroblasts,TEST,AUC,0.6503521270850587
iDNA-ABT,Colon-Fibroblasts,cell type specific,Spearman,0.1865745621640336
iDNA-ABT,Colon-Fibroblasts,cell type specific,AUC,0.583127309959045
iDNA-ABT,Colon-Right-Epithelial,VALID,Spearman,0.364271587565577
iDNA-ABT,Colon-Right-Epithelial,VALID,AUC,0.7367852461846858
iDNA-ABT,Colon-Right-Epithelial,TEST,Spearman,0.3663982619415182
iDNA-ABT,Colon-Right-Epithelial,TEST,AUC,0.7387451619461306
iDNA-ABT,Colon-Right-Epithelial,cell type specific,Spearman,0.08712340871355574
iDNA-ABT,Colon-Right-Epithelial,cell type specific,AUC,0.5451790593624933
iDNA-ABT,Cortex-Neuron,VALID,Spearman,0.3495797760029153
iDNA-ABT,Cortex-Neuron,VALID,AUC,0.7890077656419817
iDNA-ABT,Cortex-Neuron,TEST,Spearman,0.3491307688960885
iDNA-ABT,Cortex-Neuron,TEST,AUC,0.7833874045881271
iDNA-ABT,Cortex-Neuron,cell type specific,Spearman,0.0175200205886578
iDNA-ABT,Cortex-Neuron,cell type specific,AUC,0.510459570760273
iDNA-ABT,Dermal-Fibroblasts,VALID,Spearman,0.404786289144678
iDNA-ABT,Dermal-Fibroblasts,VALID,AUC,0.7529339659765126
iDNA-ABT,Dermal-Fibroblasts,TEST,Spearman,0.3999220066916728
iDNA-ABT,Dermal-Fibroblasts,TEST,AUC,0.7528307320539231
iDNA-ABT,Dermal-Fibroblasts,cell type specific,Spearman,0.2327813101977181
iDNA-ABT,Dermal-Fibroblasts,cell type specific,AUC,0.7649338815326101
iDNA-ABT,Epidermal-Keratinocytes,VALID,Spearman,0.2772443962977324
iDNA-ABT,Epidermal-Keratinocytes,VALID,AUC,0.7009334129518847
iDNA-ABT,Epidermal-Keratinocytes,TEST,Spearman,0.2772844296760144
iDNA-ABT,Epidermal-Keratinocytes,TEST,AUC,0.7048746325734554
iDNA-ABT,Epidermal-Keratinocytes,cell type specific,Spearman,-0.06132199875216677
iDNA-ABT,Epidermal-Keratinocytes,cell type specific,AUC,0.5294750948459984
iDNA-ABT,Fallopian-Epithelial,VALID,Spearman,0.3602825239526593
iDNA-ABT,Fallopian-Epithelial,VALID,AUC,0.7540456748574177
iDNA-ABT,Fallopian-Epithelial,TEST,Spearman,0.3642110185986724
iDNA-ABT,Fallopian-Epithelial,TEST,AUC,0.756808684140648
iDNA-ABT,Fallopian-Epithelial,cell type specific,Spearman,0.1010808171760853
iDNA-ABT,Fallopian-Epithelial,cell type specific,AUC,0.6098911110823972
iDNA-ABT,Gallbladder-Epithelial,VALID,Spearman,0.3602366425769941
iDNA-ABT,Gallbladder-Epithelial,VALID,AUC,0.7512412669274781
iDNA-ABT,Gallbladder-Epithelial,TEST,Spearman,0.3644491377346813
iDNA-ABT,Gallbladder-Epithelial,TEST,AUC,0.755698642303296
