input_length_bp,track,MAE_valid
2000,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,0.1518280810250597
2000,GSM5652358_Gallbladder-Epithelial-Z00000432,0.1706059885000731
2000,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,0.1657886357126414
2000,GSM5652370_Colon-Right-Epithelial-Z000000V0,0.1816729962492696
2000,GSM5652378_Small-int-Epithelial-Z0000042V,0.1814389728564183
10000,GSM5652176_Adipocytes-Z000000T7,0.120778997663617
10000,GSM5652179_Aorta-Endothel-Z00000422,0.1363992299839575
10000,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,0.1263027826736569
10000,GSM5652198_Colon-Fibroblasts-Z0000042A,0.116650574172991
10000,GSM5652200_Heart-Fibroblasts-Z0000043R,0.1775773122158331
10000,GSM5652204_Dermal-Fibroblasts-Z00000423,0.1328785110816854
10000,GSM5652205_Skeletal-Muscle-Z00000427,0.1270891033043664
10000,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,0.1478749907982858
10000,GSM5652215_Heart-Cardiomyocyte-Z0000044P,0.1848619915877484
10000,GSM5652218_Bone-Osteoblasts-Z0000042Z,0.1518673972836839
10000,GSM5652219_Oligodendrocytes-Z000000TK,0.120563349354482
10000,GSM5652223_Cortex-Neuron-Z000000TF,0.1043782861125237
10000,GSM5652233_Liver-Hepatocytes-Z000000R3,0.1276412966056054
10000,GSM5652239_Pancreas-Duct-Z0000043T,0.1237029238194988
10000,GSM5652243_Pancreas-Acinar-Z000000QX,0.1589535461217636
10000,GSM5652247_Pancreas-Delta-Z00000451,0.133669343412682
10000,GSM5652250_Pancreas-Beta-Z00000452,0.1304566991295985
10000,GSM5652253_Pancreas-Alpha-Z00000453,0.1295481655476873
10000,GSM5652264_Thyroid-Epithelial-Z0000042S,0.1253248157598702
10000,GSM5652267_Fallopian-Epithelial-Z000000Q7,0.1309325184150548
10000,GSM5652270_Ovary-Epithelial-Z000000QT,0.1635819924335823
10000,GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,0.1123621427436621
10000,GSM5652277_Blood-T-CD3-Z000000TV,0.1174404377460004
10000,GSM5652299_Blood-NK-Z000000TM,0.1118036704287454
10000,GSM5652302_Blood-Monocytes-Z000000TP,0.1201507029263379
10000,GSM5652313_Blood-Granulocytes-Z000000TZ,0.1182055801833006
10000,GSM5652317_Blood-B-Z000000UB,0.1239528243406043
10000,GSM5652321_Epidermal-Keratinocytes-Z00000424,0.130465224551563
10000,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,0.1444766395178289
10000,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,0.1336269258037594
10000,GSM5652338_Prostate-Epithelial-Z000000RV,0.1240133002736967
10000,GSM5652342_Bladder-Epithelial-Z000000QM,0.1422436753712004
