distance_window,model,meQTL_dataset,score
40,IDNA-ABT,GTEX_Testis,0.0408599383798108
40,IDNA-ABT,GTEX_WholeBlood,-0.135300466468272
40,IDNA-ABT,MDSs,-0.0415418108030216
40,IDNA-ABT,skin,-0.0599869132562853
75,CpGenie,CPG_units,0.3050949035182852
75,CpGenie,EPIC,0.1251698302858971
75,CpGenie,GTEX_BreastMammaryTissue,0.2880869228262534
75,CpGenie,GTEX_ColonTransverse,0.256000607483545
75,CpGenie,GTEX_KidneyCortex,0.2541778660554949
75,CpGenie,GTEX_Lung,0.2443278671539618
75,CpGenie,GTEX_MuscleSkeletal,0.1904243193315507
75,CpGenie,GTEX_Ovary,0.1813291108692497
75,CpGenie,GTEX_Prostate,0.211725682841882
75,CpGenie,GTEX_Testis,0.2354471166327305
75,CpGenie,GTEX_WholeBlood,0.2213345540162022
75,CpGenie,MDSs,0.3047895083835079
75,CpGenie,skin,0.3003308363778595
75,INTERACT,CPG_units,0.44197862246062
75,INTERACT,EPIC,0.3224607313105879
75,INTERACT,GTEX_BreastMammaryTissue,0.4067285386559726
75,INTERACT,GTEX_ColonTransverse,0.3951082220054004
75,INTERACT,GTEX_KidneyCortex,0.3896053975512037
75,INTERACT,GTEX_Lung,0.3867130501066225
75,INTERACT,GTEX_MuscleSkeletal,0.339476778976385
75,INTERACT,GTEX_Ovary,0.3355714681033092
75,INTERACT,GTEX_Prostate,0.4161250812426061
75,INTERACT,GTEX_Testis,0.3411864231660797
75,INTERACT,GTEX_WholeBlood,0.3667347128170597
75,INTERACT,MDSs,0.4179715192242486
75,INTERACT,skin,0.3906447811185244
75,Melody-MT,CPG_units,0.5627633777583672
75,Melody-MT,EPIC,0.2994792104973954
75,Melody-MT,GTEX_BreastMammaryTissue,0.5733062148322892
75,Melody-MT,GTEX_ColonTransverse,0.5192387040761611
75,Melody-MT,GTEX_KidneyCortex,0.545507037361338
75,Melody-MT,GTEX_Lung,0.5331862609129396
75,Melody-MT,GTEX_MuscleSkeletal,0.4885547223583965
75,Melody-MT,GTEX_Ovary,0.4907954321119772
75,Melody-MT,GTEX_Prostate,0.5926325192834165
75,Melody-MT,GTEX_Testis,0.4677124097059494
75,Melody-MT,GTEX_WholeBlood,0.4530293458495344
75,Melody-MT,MDSs,0.5481630335904322
75,Melody-MT,skin,0.4497259146721304
100,CpGenie,CPG_units,0.3061597691310121
100,CpGenie,EPIC,0.1419947015055808
100,CpGenie,GTEX_BreastMammaryTissue,0.2826241768676478
100,CpGenie,GTEX_ColonTransverse,0.2652527681392153
100,CpGenie,GTEX_KidneyCortex,0.2592334287416983
100,CpGenie,GTEX_Lung,0.2544501208606801
100,CpGenie,GTEX_MuscleSkeletal,0.1842206398373832
100,CpGenie,GTEX_Ovary,0.1905491160063179
100,CpGenie,GTEX_Prostate,0.2145924442334009
100,CpGenie,GTEX_Testis,0.2562420375569782
100,CpGenie,GTEX_WholeBlood,0.2356104542396145
100,CpGenie,MDSs,0.3110525384798836
100,CpGenie,skin,0.3101455447873508
100,INTERACT,CPG_units,0.4381274920043883
100,INTERACT,EPIC,0.3190152797422104
100,INTERACT,GTEX_BreastMammaryTissue,0.4022724265076159
100,INTERACT,GTEX_ColonTransverse,0.3970218440590677
100,INTERACT,GTEX_KidneyCortex,0.3903090708791717
100,INTERACT,GTEX_Lung,0.3923015462331542
100,INTERACT,GTEX_MuscleSkeletal,0.3209810416466672
100,INTERACT,GTEX_Ovary,0.3339763596952516
100,INTERACT,GTEX_Prostate,0.409013143757989
100,INTERACT,GTEX_Testis,0.3498215796000758
100,INTERACT,GTEX_WholeBlood,0.369326384934664
100,INTERACT,MDSs,0.4197838775802616
100,INTERACT,skin,0.3926905039812253
100,Melody-MT,CPG_units,0.5522628458088528
100,Melody-MT,EPIC,0.3095880074640985
100,Melody-MT,GTEX_BreastMammaryTissue,0.572910143089557
100,Melody-MT,GTEX_ColonTransverse,0.5204316172656233
100,Melody-MT,GTEX_KidneyCortex,0.5399193380427002
100,Melody-MT,GTEX_Lung,0.5338748657481492
100,Melody-MT,GTEX_MuscleSkeletal,0.4819705839104367
100,Melody-MT,GTEX_Ovary,0.4808424717526557
100,Melody-MT,GTEX_Prostate,0.578329070364274
100,Melody-MT,GTEX_Testis,0.4653147471595432
100,Melody-MT,GTEX_WholeBlood,0.4506186238014619
100,Melody-MT,MDSs,0.5430402557229804
100,Melody-MT,skin,0.4650024846451705
150,CpGenie,CPG_units,0.3099179359542572
150,CpGenie,EPIC,0.1719954008659781
