observed,predicted
0.56,1.0111567
0.61,0.0028588474
-0.51,0.0
0.615,0.001984935
-0.54,-0.17126116
-0.53,-0.83710575
-0.718,0.0
-0.64,0.005138119
0.51,0.22774406
0.59,0.18551195
-0.58,-0.1611047
0.73,0.0
0.7,0.6323194
-0.852,-0.80805933
0.56,0.45004267
-0.61,3.361702e-05
-0.55,-0.63634974
-0.52,-0.2304752
-0.55,-0.0026697947
-0.52,0.006509505
-0.7,-0.008037478
-0.51,0.002616803
0.67,0.38422537
0.63,0.0
0.53,-0.0063260496
-0.62,0.013427258
-0.51,0.0012728771
0.52,0.64110774
0.59,0.6444734
-0.59,-0.10297266
-0.66,-0.85919344
0.56,0.29217622
-0.708,0.009146896
-0.61,-0.5022739
0.57,-0.02368333
0.63,0.09432957
-0.53,-0.38456854
-0.69,0.017880082
-0.689,-0.041598618
0.53,0.0
0.62,-0.0010082623
-0.743,-0.77438223
-0.63,-0.0020474393
-0.787,-0.0062982677
-0.56,0.073021315
0.6,-0.0005965404
-0.792,-1.2637545
-0.869,0.0004903376
0.52,0.0012569228
-0.74,-0.5713627
0.57,0.0
-0.58,0.0
-0.52,-0.2531439
0.66,0.0
0.782,0.8584313
0.52,0.5486895
0.62,0.44246992
-0.51,0.27300632
0.54,0.00074486434
-0.66,-0.14623211
0.77,0.48047927
0.59,0.53513193
0.56,0.00042639376
0.58,0.12094151
-0.63,-0.48853382
-0.59,-0.018357953
-0.65,-0.80293536
-0.71,-0.36459357
0.68,0.17907177
-0.59,-0.0007024805
0.68,-0.00067388016
-0.585,-0.5187849
0.66,0.40682316
-0.62,0.0016753674
-0.66,-0.0014163494
-0.59,-0.22721566
-0.67,-0.34299603
0.809,1.1248852
-0.72,0.00039295355
-0.542,-0.6033239
-0.61,0.005331993
-0.74,-1.0293497
-0.74,-0.71356934
-0.55,-0.009635046
-0.57,-0.09094774
0.54,0.018882966
0.591,0.0005478059
0.78,-0.047731437
0.53,0.691719
-0.57,-0.0022482798
-0.54,0.00048189162
-0.6,-0.017803272
-0.741,0.0027533248
-0.53,-0.2173487
0.53,-0.0006777619
-0.61,-0.0020089645
-0.58,-0.3668426
0.67,0.31572244
0.66,0.37302652
0.7,0.3309587
0.51,-0.009956583
0.59,0.4622902
-0.58,-0.5343278
0.779,1.1746523
0.66,0.0
0.53,0.0048683286
0.55,0.49098477
0.89,1.3954198
0.777,0.81491375
0.58,1.0908538
0.67,-0.0006665066
0.62,0.22162351
0.56,0.028679121
-0.535,-0.28798714
0.69,0.6107565
0.57,0.5567132
-0.69,-0.8803252
0.67,0.1236048
-0.64,0.037038118
-0.63,0.0010136515
-0.51,-0.0074562556
-0.64,7.9244375e-05
-0.56,0.011861891
-0.65,0.0
-0.59,-0.0012585521
-0.65,0.008637339
0.58,0.7277436
-0.56,-0.0033328831
0.55,0.060875934
0.633,0.008984212
-0.52,-0.38472068
-0.65,-0.00540706
-0.62,-0.0007604882
-0.61,0.026592277
-0.7,-0.37932962
-0.6,-0.3006072
0.52,0.49669594
-0.55,-0.59006363
-0.641,-0.0017950088
-0.53,0.00067716837
-0.53,-0.0015512705
-0.63,-0.0017891725
0.59,0.66650915
0.865,0.655823
0.55,0.4763954
-0.64,-0.17405224
-0.59,-0.36707214
-0.62,0.00056533143
0.679,0.5488677
0.597,0.29495117
-0.7,-0.5066342
-0.6,0.0010883049
0.53,0.0057997
-0.51,-0.45507872
0.52,0.107974924
-0.53,-0.32508385
0.77,0.0
-0.61,-0.44399098
-0.72,0.3847494
0.69,0.7842035
0.785,0.0010649562
-0.77,-0.17358826
-0.54,-0.0032680233
0.54,0.008554514
-0.51,-0.0051519624
0.59,-0.0040650913
0.66,0.4147267
-0.62,0.001312626
-0.651,0.03385009
-0.635,-0.39085832
0.57,0.382022
-0.56,-0.5933811
-0.63,0.00016782682
-0.679,-0.0054029524
-0.71,-0.54311055
0.668,0.39006603
0.61,0.49620554
0.65,0.10106045
-0.73,-0.48053697
0.59,0.4505837
-0.823,0.2459305
-0.7,-0.012077982
0.58,0.29718134
-0.59,0.0063200495
0.54,0.2532198
-0.54,-0.00027836562
0.599,0.603424
0.78,0.3007583
-0.51,-0.64061683
0.53,0.0
-0.54,-0.20256425
-0.55,-0.44943142
0.823,0.0035645168
-0.612,-0.45209712
-0.77,-1.4694349
-0.55,-0.027252924
0.67,-0.01280425
0.7,1.0391319
-0.55,-0.008335624
-0.57,-0.007916818
-0.6,-0.0022457072
-0.71,-0.19615752
0.51,0.73390037
-0.51,-0.15877461
-0.58,-0.0030551553
0.55,0.43940392
-0.51,-0.13275626
0.571,0.3849168
0.619,0.0042016124
0.78,-0.0015979819
