observed,predicted
1.21802,0.0047667027
1.29211,-0.0013405681
-1.27551,0.0001398921
1.23934,0.3046281
1.18307,1.0447626
1.00386,0.95959824
1.33566,0.23917103
-1.28974,-0.0010250807
-1.15651,0.0015338659
1.04282,0.0013513416
1.28327,-0.04899761
-1.28185,0.01514709
1.14614,-0.004284799
1.06221,0.44434232
-1.03445,0.0010352135
1.24577,0.3336246
1.25877,0.03598076
1.02875,0.29425022
1.30552,-0.0009773672
1.2736,0.6593891
1.17122,0.003332436
-1.32037,0.0021199584
1.18832,0.5878818
-1.17735,-0.0015674233
-1.22001,-0.0034905076
1.32753,-0.005833596
1.17495,-0.009611607
1.02974,0.25297832
1.30198,0.02468434
-1.07025,-0.18333107
1.15955,-0.011488855
1.33167,-0.00047558546
1.22,-0.00010928884
-1.52453,0.000943318
-1.27429,-0.0013302416
-1.10832,-0.0027142167
1.32271,0.0037406683
1.09417,0.0013117418
-1.39765,-0.011502683
1.23465,-0.037456453
1.56512,0.25136727
-1.17589,-0.024452806
1.21982,-0.0014719218
1.43227,0.0014595389
1.22495,0.7831899
1.13005,0.27872288
1.12369,0.022199452
-1.26784,-0.28195438
-1.28239,0.35445935
-1.26661,0.3875025
-1.29369,-0.8152326
1.13822,0.035135478
-1.32652,-0.00087839365
-1.10018,-0.29708308
1.13146,0.01708445
1.29334,0.18119174
-1.33442,-1.1915923
1.34395,-0.01276201
-1.26751,-0.043855548
1.19764,0.000808239
0.930276,0.0038608275
-1.20579,-0.00022804737
-1.15613,0.0050468445
-1.2971,-0.35062557
1.14619,0.3301137
1.36602,0.5708846
1.23441,0.13836217
1.22426,-0.0768117
0.924971,0.15448838
-1.2659,-0.00012928247
1.18952,0.098317444
1.14094,0.0076292157
-0.911514,-0.15771872
1.08336,0.15173417
1.38255,0.0011934191
-1.12557,-0.012128562
1.13562,-4.082918e-06
1.0597,0.0006480813
1.34869,0.7305724
1.27632,0.41339883
-1.25912,-0.24979894
1.24894,0.61507416
-1.22032,0.0037674904
-1.06416,0.0012966394
-0.984438,-0.800889
-1.15919,-0.00041604042
1.19748,0.44321445
1.35305,0.65168643
1.2567,0.05153039
1.15238,0.121652186
1.33567,0.3206577
-1.18235,-0.18447313
-1.03604,-0.00022888184
1.15159,0.26161087
1.06673,-3.7699938e-06
1.11573,0.11199697
1.21693,-0.18590245
1.34139,0.8303293
1.21925,0.21413505
1.49576,0.26631266
1.33475,-0.0001385212
-1.11147,2.0861626e-06
1.21422,0.6002454
-1.06903,-0.1451047
-1.13664,-0.009537682
1.18118,0.30411965
1.12914,0.0030165017
1.16823,0.000111050904
1.29536,0.0033722818
1.12206,-0.00044961646
-1.06738,-0.32554522
0.9569,0.0002978742
-1.41293,-0.38816378
1.10775,0.4559548
-1.00644,-0.012255907
-1.34776,-0.12768823
-1.08582,0.0022880733
-1.2997,-0.000110805035
-1.29153,-0.0035786927
0.878751,5.5134296e-05
-1.22824,-0.00052043796
-1.28799,1.1563301e-05
1.24585,-0.012537181
1.11461,0.13276184
-1.09066,-3.0696392e-06
-1.2051,-0.13355502
1.36962,0.7767215
1.19136,0.0022814274
1.35514,0.0024546087
1.20122,0.5240819
-1.40515,-0.0015327036
1.09912,0.20637646
-1.06992,0.0010728538
-1.12941,-0.59062874
1.22248,-0.0044688582
-1.29017,-0.76165557
-1.25286,-0.28609
1.07606,-0.008699566
1.29908,0.7679063
-1.28353,-0.54702604
1.25485,0.08775228
-1.38725,-0.047083974
1.30908,0.0040358603
-1.2361,-0.16970938
1.27548,0.0020170808
1.16579,0.29882228
-1.26363,-0.084519506
1.17525,0.05634576
-1.3114,-0.00038695335
1.13546,0.23560506
-1.23395,0.011187792
-1.0377,-0.0018681288
-1.06793,0.0025823712
1.12961,0.13180447
-1.11375,0.00084763765
1.07883,0.5649698
1.07538,0.14563853
-1.21815,-0.5326005
-1.24642,0.00078350306
-1.14558,-0.00077444315
-1.29337,0.00029289722
-1.13044,-0.030007005
1.24552,0.112488076
1.36552,6.778538e-05
1.1151,-0.0010820627
1.20313,4.824996e-05
0.934675,0.00047808886
-1.02857,-0.1498479
1.26417,-0.00051283836
1.21245,-0.0021877289
-1.25649,0.0019473433
-1.08156,-0.0023958087
1.2105,0.8980813
-1.27673,-0.15778041
1.17823,0.2328355
1.10149,0.059414387
1.31412,0.5657782
-1.21146,-0.05039051
-1.15231,-0.045120686
1.167,0.117634535
-1.09186,-0.00010174513
-1.14292,0.02246055
1.23879,0.14632696
-1.19031,-0.4745214
-1.10951,-0.25971872
-1.17243,-0.00036150217
1.11296,-0.00084106624
1.21137,0.16905737
1.13079,0.06405032
1.43013,0.0075908303
-1.10279,-0.0049883723
1.19599,-0.0024721026
-1.18265,-0.017726839
-1.19189,-0.06519282
-1.24447,0.010142565
-1.20568,0.00041007996
0.86898,0.19360548
1.34248,0.0025946498
1.08466,0.62942517
-1.2746,2.9623508e-05
1.13969,0.032298982
1.24468,0.62861526
1.24252,0.24059176
1.25209,-0.0024339408
1.3255,-0.00046002865
-1.193,0.29985452
-1.20462,-0.2330975
-1.20283,-0.0025284588
-1.23497,0.0026085973
1.32543,0.81070906
1.24789,0.049846858
0.938742,-0.0002873987
-1.26079,-0.0026767254
-1.15156,0.0032747388
1.34846,0.00017255545
1.18268,-0.042170823
-0.980722,-0.44883728
1.23387,0.00011155382
-1.27449,-0.16308022
1.13989,0.2442315
-1.09915,4.2915344e-05
1.08074,7.176772e-05
1.1181,1.00748
-1.2141,-0.0070350766
1.37518,0.18109852
-1.09484,-0.13487482
-1.27823,-1.0702314
1.24288,0.20908763
-1.31841,-0.012684733
-1.2069,-0.04366216
1.10416,0.0010316968
-1.29914,-0.008895636
-1.26854,0.0013053715
-1.23726,-0.062278062
1.20648,0.041720092
-1.26431,0.0014236569
1.23031,-4.810095e-05
-1.13177,-0.012548149
1.12448,-0.0004426241
1.12595,0.00031393766
-1.26113,-0.0024553537
1.23037,-8.660555e-05
1.15886,-0.057646185
1.3941,-0.001078099
-1.20235,-0.3160401
-1.3149,-0.00058048964
1.06381,0.2930302
-1.17838,0.0066957474
1.06918,0.24619386
-1.32147,0.0003699474
-1.13866,0.0026208162
-1.09045,0.0007504821
-0.994199,0.00037425756
1.2966,0.046342313
-1.09806,-0.31670445
1.13099,0.39041913
1.37899,0.00092476606
-1.25262,-0.23299643
1.20797,0.61064804
1.33915,-0.0038990378
-1.19602,0.001814425
-1.11991,-0.0005764961
1.23375,0.0010421276
1.2074,0.51308525
1.07533,-5.776435e-05
-1.10146,-0.0007261634
1.06459,0.1410765
1.23719,0.055978656
1.23315,0.05715671
-1.14335,-0.373889
1.11259,0.098909244
-0.902092,-0.008268595
1.0889,0.48587775
1.08614,0.26208627
1.14854,0.3176607
1.3389,0.007910311
-1.22252,0.0005582124
1.33796,-0.0010842383
-1.08444,-0.08462435
1.22832,0.16095942
-1.32046,-0.014680803
-1.14344,-0.14592528
-1.06044,-0.068431556
1.14771,0.0033575296
-1.10988,0.0013145208
-1.3682,-0.006783843
-1.12404,-0.31291646
1.15932,1.0864605
-1.15325,-0.00054714084
-1.12648,-0.00054484606
-0.892252,-0.41631788
1.19593,-0.000747785
-1.23801,-0.0067313313
1.15962,0.018362805
1.08629,0.0031980276
-1.17445,-0.7810327
1.26344,0.12303984
-1.13934,-0.6244422
-1.27343,-0.14293307
-1.16029,-0.006328825
-1.22415,-0.6932694
-1.22982,0.019121557
1.26288,0.61777365
-1.12178,-0.9036691
1.22622,0.0012434125
1.12889,-0.0019373894
1.10484,0.109002054
-1.09989,-0.2334269
-1.18817,-0.00979045
-1.08271,0.0002720356
1.07579,0.14411636
1.21868,-0.0010662675
1.18462,-0.016376734
-0.925817,-0.0009839535
1.09444,0.0021841526
0.997362,-0.0016054213
1.12022,0.120224
-1.18984,-0.0030609444
1.1411,0.0032710433
1.21347,0.31514025
1.2012,0.04713434
1.24591,0.0010910034
-1.26616,-0.0064388514
-1.22776,-0.1622475
1.13964,0.60973144
-1.23381,-0.0016367435
1.01398,-0.049542844
1.12644,0.0012497306
-1.28089,0.03801638
1.14787,-0.04717061
-1.13527,-0.6713998
1.24713,0.068727255
-1.14982,-0.37025994
0.996508,0.10481259
1.08434,5.8695674e-05
-1.32176,0.009578615
1.22765,0.15316059
1.21027,0.00092034787
-1.11977,-0.23550451
1.1283,0.0010486245
-1.38389,-0.055820733
1.20576,0.3214352
1.23088,0.00020360947
1.11125,0.15878522
-1.33302,-0.023661137
-0.953817,-0.4540195
1.26876,0.0038952231
-1.20494,0.021591306
-1.30733,-0.0016211867
1.23038,0.07551733
0.810522,0.20652798
1.15074,0.013870478
1.23869,-0.002233982
1.01667,0.0019524097
1.30971,-0.011748612
-1.14225,-0.054879904
1.37926,0.016956627
-1.14319,0.006227255
1.30419,0.006233275
1.15325,0.30296773
-1.21548,-0.127731
-1.197,-0.079533845
-1.31049,-0.012363732
1.11757,-0.0012933016
1.16551,-0.0063684583
-1.10007,-1.0383104
1.22556,0.006738782
-1.25629,0.0044380426
1.20251,-0.005112678
-1.16892,0.028006613
-0.933985,-0.077332824
1.34471,-0.064576715
1.11171,0.0062257648
1.08778,-0.0011547208
-1.12142,-0.15337911
-1.16238,-0.0011367202
-1.18945,-0.053326398
-1.13955,-0.5420159
1.20257,0.003005892
1.21236,0.2568245
1.03358,0.19882482
-1.18966,0.0014562905
-1.22342,-0.0012198985
1.27351,0.0023276806
-1.1367,0.0009602308
-1.04912,-0.51429313
1.10211,0.004369676
1.29182,0.30483782
-1.21495,-0.036346376
1.19533,0.10560414
-0.917898,-0.1848045
-1.13417,-0.05301678
1.12649,0.19061941
-1.05569,-0.0064926744
